Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
1,Alisson,br BRA,GK,Liverpool,30,1992,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7
2,Alphonse Areola,fr FRA,GK,West Ham,30,1993,30.0,53,5,0,3,3,52.1,0.24,+2.1,+0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9
3,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.70,13.3
4,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,42,4,0,5,0,42.2,0.29,+0.2,+0.01,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1.00,12.9
5,Ederson,br BRA,GK,Manchester City,29,1993,30.9,27,3,0,2,1,27.2,0.30,+1.2,+0.04,114,246,46.3,1120,137,18.3,27.2,114,36.0,36.3,247,25,10.1,50,1.62,17.3
6,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6
7,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6
8,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,29.4,79,5,0,8,5,70.5,0.33,-3.5,-0.12,206,619,33.3,782,101,54.6,40.2,262,73.3,52.3,468,28,6.0,42,1.43,14.7
9,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4
10,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47.0,246,5,2.0,17,0.94,13.8
11,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,27,2,0,4,1,20.0,0.27,-6.0,-0.30,117,355,33.0,453,63,55.0,41.2,141,75.2,52.8,339,24,7.1,12,0.60,11.2
12,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52.0,39.5,341,66.0,47.5,558,16,2.9,76,2.01,20.5
13,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.00,19.5
14,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,11,0,0,3,1,11.3,0.30,+1.3,+0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.30,17.0
15,Bernd Leno,de GER,GK,Fulham,31,1992,38.0,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4.0,40,1.05,14.2
16,Emiliano Martínez,ar ARG,GK,Aston Villa,30,1992,33.5,48,1,0,10,4,50.8,0.37,+6.8,+0.20,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5
17,Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,0.0,1,0,0,0,0,0.1,0.15,-0.9,-19.20,0,5,0.0,4,0,100.0,53.8,1,100.0,63.0,1,1,100.0,0,0.00,3.5
18,Arijanet Muric,xk KVX,GK,Burnley,24,1998,10.0,16,1,0,1,1,21.7,0.26,+6.7,+0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14.0,31,3.10,17.2
19,Neto,br BRA,GK,Bournemouth,34,1989,32.0,55,5,1,3,1,55.2,0.31,+1.2,+0.04,172,494,34.8,833,154,44.1,36.9,223,57.0,44.2,413,26,6.3,34,1.06,13.7
20,Robin Olsen,se SWE,GK,Aston Villa,33,1990,4.5,13,0,1,0,0,11.1,0.30,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13.0,1,0.22,8.4
21,André Onana,cm CMR,GK,Manchester Utd,27,1996,38.0,58,7,1,11,1,59.1,0.27,+2.1,+0.06,149,513,29.0,1351,140,31.0,31.2,162,58.0,44.6,601,42,7.0,37,0.97,12.9
22,Stefan Ortega,de GER,GK,Manchester City,30,1992,7.1,7,0,0,1,0,9.0,0.33,+2.0,+0.28,28,68,41.2,247,24,24.7,27.9,19,36.8,34.4,65,6,9.2,13,1.84,16.8
23,Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,22.1,38,1,0,5,3,28.3,0.26,-6.7,-0.30,67,214,31.3,655,97,22.1,27.8,149,46.3,37.8,312,20,6.4,20,0.91,12.7
24,Jordan Pickford,eng ENG,GK,Everton,29,1994,38.0,51,8,0,9,3,52.4,0.28,+4.4,+0.12,360,901,40.0,1297,141,56.7,41.6,273,60.8,48.3,570,30,5.3,54,1.42,15.9
25,Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,14.9,16,0,1,2,0,16.8,0.30,+0.8,+0.05,41,118,34.7,304,88,21.1,28.6,95,56.8,43.8,143,9,6.3,28,1.87,19.0
26,Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2.0,7,0,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,19,2,10.5,0,0.00,9.6
27,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.50,14.6
28,David Raya,es ESP,GK,Arsenal,27,1995,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9
29,José Sá,pt POR,GK,Wolves,30,1993,33.7,58,8,1,7,1,65.9,0.31,+8.9,+0.26,87,424,20.5,841,190,33.3,33.0,253,56.9,42.6,522,45,8.6,28,0.83,12.6
30,Robert Sánchez,es ESP,GK,Chelsea,25,1997,15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.70,15.8
31,Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16.0,27,1,0,9,2,17.2,0.27,-7.8,-0.49,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,223,11,4.9,4,0.25,9.4
32,James Shea,eng ENG,GK,Luton Town,32,1991,0.2,0,0,0,0,0,0.1,0.06,+0.1,+0.75,3,6,50.0,6,1,83.3,50.8,3,33.3,37.3,3,0,0.0,1,6.00,19.0
33,Jason Steele,eng ENG,GK,Brighton,32,1990,17.0,34,3,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4.0,41,2.41,20.6
34,Thomas Strakosha,al ALB,GK,Brentford,28,1995,1.5,2,0,0,0,0,1.5,0.20,-0.5,-0.30,12,30,40.0,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10.0
35,James Trafford,eng ENG,GK,Burnley,20,2002,28.0,62,5,0,10,2,54.1,0.30,-5.9,-0.21,138,606,22.8,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,1.54,15.0
