Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2
11,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51,1
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54,0
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,39,26,26,11,2,27,87,31.0,60,22,2,20,31,70,48,5
18,Alisson,br BRA,GK,Liverpool,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4
19,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,36,24,13,15,8,11,29,37.9,18,29,2,27,10,46,13,0
20,Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,80,39,47,26,7,31,66,47.0,35,59,20,39,42,122,81,0
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1
22,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0
23,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,10.4,27,16,17,8,2,17,31,54.8,14,20,7,13,8,35,19,2
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1
25,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,20,2002,11.4,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0
26,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0
27,Michail Antonio,jm JAM,FW,West Ham,33,1990,18.8,15,8,5,6,4,3,11,27.3,8,16,3,13,4,19,4,0
28,Antony,br BRA,FW,Manchester Utd,23,2000,14.7,40,21,15,19,6,20,40,50.0,20,29,1,28,12,52,9,0
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,10.5,23,14,11,8,4,7,15,46.7,8,17,7,10,15,38,9,0
30,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,20.4,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0
31,Cameron Archer,eng ENG,MF,Aston Villa,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,Alphonse Areola,fr FRA,GK,West Ham,30,1993,30.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,16,0
33,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,35,17,18,13,4,14,27,51.9,13,22,7,15,19,54,43,1
34,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,30,1992,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,11.6,9,7,1,4,4,1,2,50.0,1,7,2,5,1,10,9,0
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31,1991,28.3,65,36,23,28,14,21,42,50.0,21,43,2,41,16,81,15,0
37,Benoît Badiashile,fr FRA,DF,Chelsea,22,2001,14.9,21,15,12,9,0,9,14,64.3,5,21,14,7,18,39,66,2
38,Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,23.0,13,7,7,4,2,5,20,25.0,15,18,1,17,9,22,6,0
39,Stefan Bajcetic,es ESP,MF,Liverpool,18,2004,0.3,4,1,3,1,0,3,5,60.0,2,0,0,0,0,4,0,0
40,George Baldock,gr GRE,DF,Sheffield Utd,30,1993,10.8,18,10,10,7,1,6,15,40.0,9,14,8,6,10,28,33,0
41,Carlos Baleba,cm CMR,MF,Brighton,19,2004,14.7,40,20,17,19,4,23,46,50.0,23,35,7,28,18,58,30,3
42,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,26,1997,0.8,4,2,1,3,0,1,2,50.0,1,1,0,1,3,7,2,0
43,Shandon Baptiste,gd GRN,MF,Brentford,25,1998,2.5,4,4,2,2,0,1,5,20.0,4,5,1,4,3,7,6,0
44,Valentín Barco,ar ARG,"DF,FW",Brighton,19,2004,3.4,11,5,4,5,2,6,8,75.0,2,3,0,3,4,15,3,1
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,47,19,16,21,10,11,48,22.9,37,25,9,16,25,72,51,2
46,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,8.9,6,1,3,2,1,1,2,50.0,1,1,0,1,5,11,3,0
47,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35,1988,3.6,7,2,4,3,0,2,9,22.2,7,9,4,5,5,12,17,0
48,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,49,29,33,15,1,21,29,72.4,8,32,11,21,28,77,84,4
49,Owen Beck,wls WAL,DF,Liverpool,20,2002,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0
50,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
51,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1
52,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25,1998,10.6,17,10,9,6,2,7,15,46.7,8,18,2,16,8,25,14,0
53,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,4.7,11,6,5,2,4,4,10,40.0,6,7,1,6,5,16,7,0
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,27,1995,6.9,8,4,5,3,0,4,15,26.7,11,8,0,8,5,13,7,0
55,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,23,15,10,11,2,10,24,41.7,14,15,4,11,17,40,16,1
56,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
57,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,32,1990,13.2,13,4,6,5,2,7,16,43.8,9,14,0,14,16,29,16,0
58,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,76,46,35,36,5,34,58,58.6,24,49,20,29,23,99,60,2
59,Luke Berry,eng ENG,"MF,DF",Luton Town,31,1992,3.6,7,2,2,4,1,2,3,66.7,1,6,1,5,0,7,3,0
60,Beto,gw GNB,FW,Everton,25,1998,10.6,14,6,1,6,7,4,12,33.3,8,11,0,11,1,15,14,0
61,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1
62,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,33,16,7,22,4,9,27,33.3,18,31,5,26,20,53,28,1
63,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,80,52,32,36,12,41,61,67.2,20,28,5,23,37,117,43,3
64,Benicio Boaitey,eng ENG,"FW,DF",Brighton,19,2004,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
65,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,7,3,1,2,4,2,4,50.0,2,4,0,4,5,12,1,0
66,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31.0,66,36,43,21,2,35,70,50.0,35,42,11,31,32,98,97,0
67,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16.0,46,29,36,9,1,22,40,55.0,18,32,21,11,25,71,90,0
68,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,20,13,14,6,0,8,13,61.5,5,20,16,4,9,29,61,3
69,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,42,28,14,14,14,13,35,37.1,22,37,5,32,19,61,14,0
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,33,25,14,12,7,24,38,63.2,14,17,1,16,10,43,14,0
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,66,32,42,22,2,45,62,72.6,17,51,36,15,50,116,163,2
72,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,9,4,4,4,1,4,10,40.0,6,9,3,6,3,12,12,0
73,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,5,1,1,2,2,0,2,0.0,2,2,0,2,1,6,2,0
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,3,0,0,1,2,1,2,50.0,1,5,1,4,0,3,3,0
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
76,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,22,13,7,11,4,9,21,42.9,12,13,1,12,14,36,20,0
