Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,988,950,36,11,1,2,6,25,0,0,0,0,745,2,20
11,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,802,649,150,12,2,2,28,138,0,0,0,0,603,3,17
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23
18,Alisson,br BRA,GK,Liverpool,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3
19,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16
20,Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27
22,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19
23,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22
25,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,20,2002,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9
26,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3
27,Michail Antonio,jm JAM,FW,West Ham,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22
